Throughput,Latency,Power,Buffer Depth,Flit Size,NUM_VC,r2h_len,r2r_len
0.412444,11.4935,1.62157e-07,2,16,1,0.5,0.5
0.412444,11.4935,1.67473e-07,2,16,1,0.5,1.0
0.412444,11.4935,1.72767e-07,2,16,1,0.5,1.5
0.412444,11.4935,1.78084e-07,2,16,1,0.5,2.0
0.412444,11.4935,1.83378e-07,2,16,1,0.5,2.5
0.412444,11.4935,1.88515e-07,2,16,1,0.5,3.0
0.412444,11.4935,1.62163e-07,2,16,1,1.0,0.5
0.412444,11.4935,1.67479e-07,2,16,1,1.0,1.0
0.412444,11.4935,1.72773e-07,2,16,1,1.0,1.5
0.412444,11.4935,1.78089e-07,2,16,1,1.0,2.0
0.412444,11.4935,1.83383e-07,2,16,1,1.0,2.5
0.412444,11.4935,1.88521e-07,2,16,1,1.0,3.0
0.408444,11.7109,1.61785e-07,2,16,1,1.5,0.5
0.408444,11.7109,1.66956e-07,2,16,1,1.5,1.0
0.408444,11.7109,1.72104e-07,2,16,1,1.5,1.5
0.408444,11.7109,1.77275e-07,2,16,1,1.5,2.0
0.408444,11.7109,1.82424e-07,2,16,1,1.5,2.5
0.408444,11.7109,1.8742e-07,2,16,1,1.5,3.0
0.408444,11.7109,1.61811e-07,2,16,1,2.0,0.5
0.408444,11.7109,1.66982e-07,2,16,1,2.0,1.0
0.408444,11.7109,1.7213e-07,2,16,1,2.0,1.5
0.408444,11.7109,1.77301e-07,2,16,1,2.0,2.0
0.408444,11.7109,1.8245e-07,2,16,1,2.0,2.5
0.408444,11.7109,1.87446e-07,2,16,1,2.0,3.0
0.408444,11.7109,1.61869e-07,2,16,1,2.5,0.5
0.408444,11.7109,1.67039e-07,2,16,1,2.5,1.0
0.408444,11.7109,1.72188e-07,2,16,1,2.5,1.5
0.408444,11.7109,1.77358e-07,2,16,1,2.5,2.0
0.408444,11.7109,1.82507e-07,2,16,1,2.5,2.5
0.408444,11.7109,1.87504e-07,2,16,1,2.5,3.0
0.408444,11.7109,1.61873e-07,2,16,1,3.0,0.5
0.408444,11.7109,1.67043e-07,2,16,1,3.0,1.0
0.408444,11.7109,1.72192e-07,2,16,1,3.0,1.5
0.408444,11.7109,1.77363e-07,2,16,1,3.0,2.0
0.437333,11.9593,1.84001e-07,2,16,1,3.0,2.5
0.437333,11.9593,1.89209e-07,2,16,1,3.0,3.0
0.432667,10.7881,2.55127e-07,2,16,2,0.5,0.5
0.432667,10.7881,2.60724e-07,2,16,2,0.5,1.0
0.432667,10.7881,2.66296e-07,2,16,2,0.5,1.5
0.432667,10.7881,2.71892e-07,2,16,2,0.5,2.0
0.432667,10.7881,2.77465e-07,2,16,2,0.5,2.5
0.432667,10.7881,2.82873e-07,2,16,2,0.5,3.0
0.432667,10.7881,2.55133e-07,2,16,2,1.0,0.5
0.432667,10.7881,2.60729e-07,2,16,2,1.0,1.0
0.432667,10.7881,2.66302e-07,2,16,2,1.0,1.5
0.432667,10.7881,2.71898e-07,2,16,2,1.0,2.0
0.432667,10.7881,2.77471e-07,2,16,2,1.0,2.5
0.432667,10.7881,2.82879e-07,2,16,2,1.0,3.0
0.432667,10.7881,2.5515e-07,2,16,2,1.5,0.5
0.432667,10.7881,2.60747e-07,2,16,2,1.5,1.0
0.432667,10.7881,2.66319e-07,2,16,2,1.5,1.5
0.432667,10.7881,2.71916e-07,2,16,2,1.5,2.0
0.432667,10.7881,2.77488e-07,2,16,2,1.5,2.5
0.432667,10.7881,2.82896e-07,2,16,2,1.5,3.0
0.432667,10.7881,2.55176e-07,2,16,2,2.0,0.5
0.406222,10.4847,2.58814e-07,2,16,2,2.0,1.0
0.406222,10.4847,2.63863e-07,2,16,2,2.0,1.5
0.406222,10.4847,2.68933e-07,2,16,2,2.0,2.0
0.406222,10.4847,2.73982e-07,2,16,2,2.0,2.5
0.406222,10.4847,2.78882e-07,2,16,2,2.0,3.0
0.406222,10.4847,2.53801e-07,2,16,2,2.5,0.5
0.406222,10.4847,2.58871e-07,2,16,2,2.5,1.0
0.406222,10.4847,2.6392e-07,2,16,2,2.5,1.5
