Throughput,Latency,Power,Buffer Depth,Flit Size,NUM_VC,r2h_len,r2r_len
0.382778,8.7819,1.59136e-07,2,16,1,0.5,0.5
0.382778,8.7819,1.6338e-07,2,16,1,0.5,1.0
0.382778,8.7819,1.67607e-07,2,16,1,0.5,1.5
0.382778,8.7819,1.71851e-07,2,16,1,0.5,2.0
0.382778,8.7819,1.76078e-07,2,16,1,0.5,2.5
0.382778,8.7819,1.80179e-07,2,16,1,0.5,3.0
0.382778,8.7819,1.59142e-07,2,16,1,1.0,0.5
0.382778,8.7819,1.63386e-07,2,16,1,1.0,1.0
0.382778,8.7819,1.67612e-07,2,16,1,1.0,1.5
0.382778,8.7819,1.71857e-07,2,16,1,1.0,2.0
0.382778,8.7819,1.76083e-07,2,16,1,1.0,2.5
0.382778,8.7819,1.80185e-07,2,16,1,1.0,3.0
0.382778,8.7819,1.59159e-07,2,16,1,1.5,0.5
0.382778,8.7819,1.63403e-07,2,16,1,1.5,1.0
0.382778,8.7819,1.6763e-07,2,16,1,1.5,1.5
0.382778,8.7819,1.71874e-07,2,16,1,1.5,2.0
0.382778,8.7819,1.76101e-07,2,16,1,1.5,2.5
0.382778,8.7819,1.80202e-07,2,16,1,1.5,3.0
0.382778,8.7819,1.59185e-07,2,16,1,2.0,0.5
0.382778,8.7819,1.63429e-07,2,16,1,2.0,1.0
0.382778,8.7819,1.67656e-07,2,16,1,2.0,1.5
0.382778,8.7819,1.719e-07,2,16,1,2.0,2.0
0.382778,8.7819,1.76127e-07,2,16,1,2.0,2.5
0.382778,8.7819,1.80228e-07,2,16,1,2.0,3.0
0.382778,8.7819,1.59242e-07,2,16,1,2.5,0.5
0.382778,8.7819,1.63487e-07,2,16,1,2.5,1.0
0.382778,8.7819,1.67713e-07,2,16,1,2.5,1.5
0.382778,8.7819,1.71958e-07,2,16,1,2.5,2.0
0.382778,8.7819,1.76184e-07,2,16,1,2.5,2.5
0.382778,8.7819,1.80286e-07,2,16,1,2.5,3.0
0.382778,8.7819,1.59247e-07,2,16,1,3.0,0.5
0.382778,8.7819,1.63491e-07,2,16,1,3.0,1.0
0.382778,8.7819,1.67718e-07,2,16,1,3.0,1.5
0.382778,8.7819,1.71962e-07,2,16,1,3.0,2.0
0.382778,8.7819,1.76189e-07,2,16,1,3.0,2.5
0.382778,8.7819,1.8029e-07,2,16,1,3.0,3.0
0.376,8.93853,2.51237e-07,2,16,2,0.5,0.5
0.376,8.93853,2.55426e-07,2,16,2,0.5,1.0
0.376,8.93853,2.59597e-07,2,16,2,0.5,1.5
0.376,8.93853,2.63786e-07,2,16,2,0.5,2.0
0.376,8.93853,2.67957e-07,2,16,2,0.5,2.5
0.376,8.93853,2.72005e-07,2,16,2,0.5,3.0
0.376,8.93853,2.51243e-07,2,16,2,1.0,0.5
0.376,8.93853,2.55432e-07,2,16,2,1.0,1.0
0.376,8.93853,2.59603e-07,2,16,2,1.0,1.5
0.376,8.93853,2.63792e-07,2,16,2,1.0,2.0
0.376,8.93853,2.67963e-07,2,16,2,1.0,2.5
0.376,8.93853,2.72011e-07,2,16,2,1.0,3.0
0.376,8.93853,2.5126e-07,2,16,2,1.5,0.5
0.376,8.93853,2.55449e-07,2,16,2,1.5,1.0
0.376,8.93853,2.5962e-07,2,16,2,1.5,1.5
0.376,8.93853,2.63809e-07,2,16,2,1.5,2.0
0.376,8.93853,2.6798e-07,2,16,2,1.5,2.5
0.376,8.93853,2.72028e-07,2,16,2,1.5,3.0
0.376,8.93853,2.51286e-07,2,16,2,2.0,0.5
0.376,8.93853,2.55475e-07,2,16,2,2.0,1.0
0.376,8.93853,2.59646e-07,2,16,2,2.0,1.5
0.376,8.93853,2.63835e-07,2,16,2,2.0,2.0
0.376,8.93853,2.68006e-07,2,16,2,2.0,2.5
0.376,8.93853,2.72054e-07,2,16,2,2.0,3.0
0.376,8.93853,2.51344e-07,2,16,2,2.5,0.5
0.376,8.93853,2.55533e-07,2,16,2,2.5,1.0
0.376,8.93853,2.59704e-07,2,16,2,2.5,1.5
0.376,8.93853,2.63893e-07,2,16,2,2.5,2.0
0.376,8.93853,2.68064e-07,2,16,2,2.5,2.5
0.376,8.93853,2.72112e-07,2,16,2,2.5,3.0
0.376,8.93853,2.51348e-07,2,16,2,3.0,0.5
0.376,8.93853,2.55537e-07,2,16,2,3.0,1.0
0.376,8.93853,2.59708e-07,2,16,2,3.0,1.5
0.376,8.93853,2.63897e-07,2,16,2,3.0,2.0
0.376,8.93853,2.68068e-07,2,16,2,3.0,2.5
0.376,8.93853,2.72116e-07,2,16,2,3.0,3.0
0.419667,9.90678,3.44837e-07,2,16,3,0.5,0.5
0.419667,9.90678,3.49524e-07,2,16,3,0.5,1.0
0.419667,9.90678,3.54191e-07,2,16,3,0.5,1.5
0.419667,9.90678,3.58879e-07,2,16,3,0.5,2.0
0.419667,9.90678,3.63546e-07,2,16,3,0.5,2.5
0.419667,9.90678,3.68076e-07,2,16,3,0.5,3.0
0.419667,9.90678,3.44842e-07,2,16,3,1.0,0.5
0.419667,9.90678,3.4953e-07,2,16,3,1.0,1.0
0.419667,9.90678,3.54197e-07,2,16,3,1.0,1.5
0.419667,9.90678,3.58885e-07,2,16,3,1.0,2.0
0.419667,9.90678,3.63552e-07,2,16,3,1.0,2.5
0.419667,9.90678,3.68082e-07,2,16,3,1.0,3.0
0.419667,9.90678,3.4486e-07,2,16,3,1.5,0.5
0.419667,9.90678,3.49547e-07,2,16,3,1.5,1.0
0.419667,9.90678,3.54215e-07,2,16,3,1.5,1.5
0.419667,9.90678,3.58902e-07,2,16,3,1.5,2.0
0.419667,9.90678,3.63569e-07,2,16,3,1.5,2.5
0.419667,9.90678,3.68099e-07,2,16,3,1.5,3.0
0.419667,9.90678,3.44886e-07,2,16,3,2.0,0.5
0.419667,9.90678,3.49573e-07,2,16,3,2.0,1.0
0.419667,9.90678,3.5424e-07,2,16,3,2.0,1.5
0.419667,9.90678,3.58928e-07,2,16,3,2.0,2.0
0.419667,9.90678,3.63595e-07,2,16,3,2.0,2.5
0.419667,9.90678,3.68125e-07,2,16,3,2.0,3.0
0.419667,9.90678,3.44943e-07,2,16,3,2.5,0.5
0.419667,9.90678,3.4963e-07,2,16,3,2.5,1.0
0.419667,9.90678,3.54298e-07,2,16,3,2.5,1.5
0.419667,9.90678,3.58985e-07,2,16,3,2.5,2.0
0.419667,9.90678,3.63653e-07,2,16,3,2.5,2.5
0.419667,9.90678,3.68183e-07,2,16,3,2.5,3.0
0.419667,9.90678,3.44948e-07,2,16,3,3.0,0.5
0.419667,9.90678,3.49635e-07,2,16,3,3.0,1.0
0.419667,9.90678,3.54302e-07,2,16,3,3.0,1.5
0.419667,9.90678,3.5899e-07,2,16,3,3.0,2.0
0.419667,9.90678,3.63657e-07,2,16,3,3.0,2.5
0.419667,9.90678,3.68187e-07,2,16,3,3.0,3.0
0.384,9.24074,4.35845e-07,2,16,4,0.5,0.5
0.384,9.24074,4.40076e-07,2,16,4,0.5,1.0
