Throughput,Latency,Power,Buffer Depth,Flit Size,NUM_VC,r2h_len,r2r_len
0.492,13.9439,1.6205e-07,2,16,1,0.5,0.5
0.492,13.9439,1.67317e-07,2,16,1,0.5,1.0
0.492,13.9439,1.72562e-07,2,16,1,0.5,1.5
0.492,13.9439,1.77829e-07,2,16,1,0.5,2.0
0.492,13.9439,1.83074e-07,2,16,1,0.5,2.5
0.492,13.9439,1.88164e-07,2,16,1,0.5,3.0
0.492,13.9439,1.62055e-07,2,16,1,1.0,0.5
0.492,13.9439,1.67322e-07,2,16,1,1.0,1.0
0.492,13.9439,1.72568e-07,2,16,1,1.0,1.5
0.492,13.9439,1.77835e-07,2,16,1,1.0,2.0
0.492,13.9439,1.8308e-07,2,16,1,1.0,2.5
0.492,13.9439,1.8817e-07,2,16,1,1.0,3.0
0.492,13.9439,1.62073e-07,2,16,1,1.5,0.5
0.492,13.9439,1.6734e-07,2,16,1,1.5,1.0
0.492,13.9439,1.72585e-07,2,16,1,1.5,1.5
0.492,13.9439,1.77852e-07,2,16,1,1.5,2.0
0.492,13.9439,1.83097e-07,2,16,1,1.5,2.5
0.492,13.9439,1.88187e-07,2,16,1,1.5,3.0
0.492,13.9439,1.62098e-07,2,16,1,2.0,0.5
0.492,13.9439,1.67366e-07,2,16,1,2.0,1.0
0.492,13.9439,1.72611e-07,2,16,1,2.0,1.5
0.492,13.9439,1.77878e-07,2,16,1,2.0,2.0
0.492,13.9439,1.83123e-07,2,16,1,2.0,2.5
0.492,13.9439,1.88213e-07,2,16,1,2.0,3.0
0.492,13.9439,1.62156e-07,2,16,1,2.5,0.5
0.492,13.9439,1.67423e-07,2,16,1,2.5,1.0
0.492,13.9439,1.72668e-07,2,16,1,2.5,1.5
0.492,13.9439,1.77936e-07,2,16,1,2.5,2.0
0.492,13.9439,1.83181e-07,2,16,1,2.5,2.5
0.492,13.9439,1.88271e-07,2,16,1,2.5,3.0
0.492,13.9439,1.6216e-07,2,16,1,3.0,0.5
0.492,13.9439,1.67428e-07,2,16,1,3.0,1.0
0.492,13.9439,1.72673e-07,2,16,1,3.0,1.5
0.492,13.9439,1.7794e-07,2,16,1,3.0,2.0
0.492,13.9439,1.83185e-07,2,16,1,3.0,2.5
0.492,13.9439,1.88275e-07,2,16,1,3.0,3.0
0.498,12.3868,2.54566e-07,2,16,2,0.5,0.5
0.498,12.3868,2.5995e-07,2,16,2,0.5,1.0
0.498,12.3868,2.65312e-07,2,16,2,0.5,1.5
0.498,12.3868,2.70697e-07,2,16,2,0.5,2.0
0.498,12.3868,2.76058e-07,2,16,2,0.5,2.5
0.498,12.3868,2.81262e-07,2,16,2,0.5,3.0
0.498,12.3868,2.54571e-07,2,16,2,1.0,0.5
0.498,12.3868,2.59956e-07,2,16,2,1.0,1.0
0.498,12.3868,2.65318e-07,2,16,2,1.0,1.5
0.498,12.3868,2.70702e-07,2,16,2,1.0,2.0
0.498,12.3868,2.76064e-07,2,16,2,1.0,2.5
0.498,12.3868,2.81268e-07,2,16,2,1.0,3.0
0.498,12.3868,2.54589e-07,2,16,2,1.5,0.5
0.498,12.3868,2.59973e-07,2,16,2,1.5,1.0
0.498,12.3868,2.65335e-07,2,16,2,1.5,1.5
0.498,12.3868,2.7072e-07,2,16,2,1.5,2.0
