Throughput,Latency,Power,Buffer Depth,Flit Size,NUM_VC,r2h_len,r2r_len
0.550778,9.36026,1.62777e-07,2,16,1,0.5,0.5
0.550778,9.36026,1.68346e-07,2,16,1,0.5,1.0
0.550778,9.36026,1.73891e-07,2,16,1,0.5,1.5
0.550778,9.36026,1.7946e-07,2,16,1,0.5,2.0
0.550778,9.36026,1.85005e-07,2,16,1,0.5,2.5
0.550778,9.36026,1.90387e-07,2,16,1,0.5,3.0
0.550778,9.36026,1.62783e-07,2,16,1,1.0,0.5
0.535778,8.94859,1.68667e-07,2,16,1,1.0,1.0
0.535778,8.94859,1.74303e-07,2,16,1,1.0,1.5
0.535778,8.94859,1.79963e-07,2,16,1,1.0,2.0
0.535778,8.94859,1.85599e-07,2,16,1,1.0,2.5
0.535778,8.94859,1.91068e-07,2,16,1,1.0,3.0
0.535778,8.94859,1.63024e-07,2,16,1,1.5,0.5
0.535778,8.94859,1.68684e-07,2,16,1,1.5,1.0
0.535778,8.94859,1.7432e-07,2,16,1,1.5,1.5
0.535778,8.94859,1.7998e-07,2,16,1,1.5,2.0
0.535778,8.94859,1.85616e-07,2,16,1,1.5,2.5
0.535778,8.94859,1.91086e-07,2,16,1,1.5,3.0
0.535778,8.94859,1.6305e-07,2,16,1,2.0,0.5
0.535778,8.94859,1.6871e-07,2,16,1,2.0,1.0
0.535778,8.94859,1.74346e-07,2,16,1,2.0,1.5
0.535778,8.94859,1.80006e-07,2,16,1,2.0,2.0
0.535778,8.94859,1.85642e-07,2,16,1,2.0,2.5
0.535778,8.94859,1.91111e-07,2,16,1,2.0,3.0
0.535778,8.94859,1.63108e-07,2,16,1,2.5,0.5
0.535778,8.94859,1.68768e-07,2,16,1,2.5,1.0
0.535778,8.94859,1.74404e-07,2,16,1,2.5,1.5
0.535778,8.94859,1.80063e-07,2,16,1,2.5,2.0
0.535778,8.94859,1.857e-07,2,16,1,2.5,2.5
0.551444,9.98226,1.92174e-07,2,16,1,2.5,3.0
0.551444,9.98226,1.63485e-07,2,16,1,3.0,0.5
0.551444,9.98226,1.69272e-07,2,16,1,3.0,1.0
0.551444,9.98226,1.75035e-07,2,16,1,3.0,1.5
0.551444,9.98226,1.80823e-07,2,16,1,3.0,2.0
0.551444,9.98226,1.86586e-07,2,16,1,3.0,2.5
0.551444,9.98226,1.92179e-07,2,16,1,3.0,3.0
0.554556,8.8528,2.55579e-07,2,16,2,0.5,0.5
0.554556,8.8528,2.61366e-07,2,16,2,0.5,1.0
0.554556,8.8528,2.6713e-07,2,16,2,0.5,1.5
0.554556,8.8528,2.72917e-07,2,16,2,0.5,2.0
0.554556,8.8528,2.7868e-07,2,16,2,0.5,2.5
0.554556,8.8528,2.84273e-07,2,16,2,0.5,3.0
0.554556,8.8528,2.55585e-07,2,16,2,1.0,0.5
0.554556,8.8528,2.61372e-07,2,16,2,1.0,1.0
0.554556,8.8528,2.67135e-07,2,16,2,1.0,1.5
0.554556,8.8528,2.72923e-07,2,16,2,1.0,2.0
0.554556,8.8528,2.78686e-07,2,16,2,1.0,2.5
0.554556,8.8528,2.84279e-07,2,16,2,1.0,3.0
0.554556,8.8528,2.55602e-07,2,16,2,1.5,0.5
0.554889,8.92135,2.61321e-07,2,16,2,1.5,1.0
0.554889,8.92135,2.67064e-07,2,16,2,1.5,1.5
0.554889,8.92135,2.72832e-07,2,16,2,1.5,2.0
0.554889,8.92135,2.78575e-07,2,16,2,1.5,2.5
0.554889,8.92135,2.84149e-07,2,16,2,1.5,3.0
0.554889,8.92135,2.55579e-07,2,16,2,2.0,0.5
0.554889,8.92135,2.61347e-07,2,16,2,2.0,1.0
0.554889,8.92135,2.6709e-07,2,16,2,2.0,1.5
0.554889,8.92135,2.72858e-07,2,16,2,2.0,2.0
0.554889,8.92135,2.78601e-07,2,16,2,2.0,2.5
0.554889,8.92135,2.84175e-07,2,16,2,2.0,3.0
0.554889,8.92135,2.55637e-07,2,16,2,2.5,0.5
0.554889,8.92135,2.61404e-07,2,16,2,2.5,1.0
0.554889,8.92135,2.67148e-07,2,16,2,2.5,1.5
0.554889,8.92135,2.72915e-07,2,16,2,2.5,2.0
0.554889,8.92135,2.78659e-07,2,16,2,2.5,2.5
0.554889,8.92135,2.84232e-07,2,16,2,2.5,3.0
0.554889,8.92135,2.55641e-07,2,16,2,3.0,0.5
0.554889,8.92135,2.61409e-07,2,16,2,3.0,1.0
0.554889,8.92135,2.67152e-07,2,16,2,3.0,1.5
0.585556,9.29894,2.73723e-07,2,16,2,3.0,2.0
0.585556,9.29894,2.79607e-07,2,16,2,3.0,2.5
0.585556,9.29894,2.85318e-07,2,16,2,3.0,3.0
0.606222,9.58504,3.48872e-07,2,16,3,0.5,0.5
0.606222,9.58504,3.55045e-07,2,16,3,0.5,1.0
0.606222,9.58504,3.61192e-07,2,16,3,0.5,1.5
0.606222,9.58504,3.67365e-07,2,16,3,0.5,2.0
0.606222,9.58504,3.73512e-07,2,16,3,0.5,2.5
0.606222,9.58504,3.79478e-07,2,16,3,0.5,3.0
0.606222,9.58504,3.48877e-07,2,16,3,1.0,0.5
0.606222,9.58504,3.5505e-07,2,16,3,1.0,1.0
0.606222,9.58504,3.61198e-07,2,16,3,1.0,1.5
0.606222,9.58504,3.67371e-07,2,16,3,1.0,2.0
0.606222,9.58504,3.73518e-07,2,16,3,1.0,2.5
0.606222,9.58504,3.79484e-07,2,16,3,1.0,3.0
0.606222,9.58504,3.48895e-07,2,16,3,1.5,0.5
0.606222,9.58504,3.55068e-07,2,16,3,1.5,1.0
0.606222,9.58504,3.61215e-07,2,16,3,1.5,1.5
0.545333,8.42974,3.64891e-07,2,16,3,1.5,2.0
0.545333,8.42974,3.70603e-07,2,16,3,1.5,2.5
0.545333,8.42974,3.76147e-07,2,16,3,1.5,3.0
0.545333,8.42974,3.47731e-07,2,16,3,2.0,0.5
0.545333,8.42974,3.53467e-07,2,16,3,2.0,1.0
0.545333,8.42974,3.5918e-07,2,16,3,2.0,1.5
0.545333,8.42974,3.64917e-07,2,16,3,2.0,2.0
0.545333,8.42974,3.70629e-07,2,16,3,2.0,2.5
0.545333,8.42974,3.76173e-07,2,16,3,2.0,3.0
0.545333,8.42974,3.47788e-07,2,16,3,2.5,0.5
0.545333,8.42974,3.53525e-07,2,16,3,2.5,1.0
0.545333,8.42974,3.59238e-07,2,16,3,2.5,1.5
0.545333,8.42974,3.64974e-07,2,16,3,2.5,2.0
0.545333,8.42974,3.70687e-07,2,16,3,2.5,2.5
0.545333,8.42974,3.76231e-07,2,16,3,2.5,3.0
0.545333,8.42974,3.47792e-07,2,16,3,3.0,0.5
0.545333,8.42974,3.53529e-07,2,16,3,3.0,1.0
0.545333,8.42974,3.59242e-07,2,16,3,3.0,1.5
0.563778,8.31703,3.65935e-07,2,16,3,3.0,2.0
0.563778,8.31703,3.71814e-07,2,16,3,3.0,2.5
0.563778,8.31703,3.77519e-07,2,16,3,3.0,3.0
0.565333,8.04403,4.40148e-07,2,16,4,0.5,0.5
0.565333,8.04403,4.45968e-07,2,16,4,0.5,1.0
0.565333,8.04403,4.51763e-07,2,16,4,0.5,1.5
0.565333,8.04403,4.57583e-07,2,16,4,0.5,2.0
0.565333,8.04403,4.63378e-07,2,16,4,0.5,2.5
0.565333,8.04403,4.69002e-07,2,16,4,0.5,3.0
0.565333,8.04403,4.40154e-07,2,16,4,1.0,0.5
0.565333,8.04403,4.45974e-07,2,16,4,1.0,1.0
0.565333,8.04403,4.51769e-07,2,16,4,1.0,1.5
0.565333,8.04403,4.57589e-07,2,16,4,1.0,2.0
0.565333,8.04403,4.63384e-07,2,16,4,1.0,2.5
0.565333,8.04403,4.69008e-07,2,16,4,1.0,3.0
0.565333,8.04403,4.40171e-07,2,16,4,1.5,0.5
0.565333,8.04403,4.45991e-07,2,16,4,1.5,1.0
0.565333,8.04403,4.51786e-07,2,16,4,1.5,1.5
0.544778,8.88562,4.57058e-07,2,16,4,1.5,2.0
0.544778,8.88562,4.62754e-07,2,16,4,1.5,2.5
0.544778,8.88562,4.68282e-07,2,16,4,1.5,3.0
0.544778,8.88562,4.39947e-07,2,16,4,2.0,0.5
0.544778,8.88562,4.45667e-07,2,16,4,2.0,1.0
0.544778,8.88562,4.51363e-07,2,16,4,2.0,1.5
0.544778,8.88562,4.57084e-07,2,16,4,2.0,2.0
0.544778,8.88562,4.6278e-07,2,16,4,2.0,2.5
0.544778,8.88562,4.68308e-07,2,16,4,2.0,3.0
0.544778,8.88562,4.40004e-07,2,16,4,2.5,0.5
0.544778,8.88562,4.45725e-07,2,16,4,2.5,1.0
0.544778,8.88562,4.51421e-07,2,16,4,2.5,1.5
0.544778,8.88562,4.57141e-07,2,16,4,2.5,2.0
0.544778,8.88562,4.62838e-07,2,16,4,2.5,2.5
0.544778,8.88562,4.68366e-07,2,16,4,2.5,3.0
0.544778,8.88562,4.40008e-07,2,16,4,3.0,0.5
0.544778,8.88562,4.45729e-07,2,16,4,3.0,1.0
0.550333,9.15323,4.51009e-07,2,16,4,3.0,1.5
0.550333,9.15323,4.56641e-07,2,16,4,3.0,2.0
0.550333,9.15323,4.62249e-07,2,16,4,3.0,2.5
0.550333,9.15323,4.67691e-07,2,16,4,3.0,3.0
0.559,8.66083,5.322e-07,2,16,5,0.5,0.5
0.559,8.66083,5.37945e-07,2,16,5,0.5,1.0
0.559,8.66083,5.43665e-07,2,16,5,0.5,1.5
0.559,8.66083,5.49409e-07,2,16,5,0.5,2.0
0.559,8.66083,5.5513e-07,2,16,5,0.5,2.5
0.559,8.66083,5.60681e-07,2,16,5,0.5,3.0
0.559,8.66083,5.32206e-07,2,16,5,1.0,0.5
0.559,8.66083,5.37951e-07,2,16,5,1.0,1.0
0.559,8.66083,5.43671e-07,2,16,5,1.0,1.5
0.559,8.66083,5.49415e-07,2,16,5,1.0,2.0
0.559,8.66083,5.55135e-07,2,16,5,1.0,2.5
0.559,8.66083,5.60687e-07,2,16,5,1.0,3.0
