Throughput,Latency,Power,Buffer Depth,Flit Size,NUM_VC,r2h_len,r2r_len
0.466667,11.4019,1.63461e-07,2,16,1,0.5,0.5
0.466667,11.4019,1.69298e-07,2,16,1,0.5,1.0
0.466667,11.4019,1.7511e-07,2,16,1,0.5,1.5
0.466667,11.4019,1.80947e-07,2,16,1,0.5,2.0
0.466667,11.4019,1.86759e-07,2,16,1,0.5,2.5
0.466667,11.4019,1.924e-07,2,16,1,0.5,3.0
0.466667,11.4019,1.63466e-07,2,16,1,1.0,0.5
0.466667,11.4019,1.69303e-07,2,16,1,1.0,1.0
0.466667,11.4019,1.75116e-07,2,16,1,1.0,1.5
0.466667,11.4019,1.80953e-07,2,16,1,1.0,2.0
0.466667,11.4019,1.86765e-07,2,16,1,1.0,2.5
0.466667,11.4019,1.92406e-07,2,16,1,1.0,3.0
0.466667,11.4019,1.63484e-07,2,16,1,1.5,0.5
0.466667,11.4019,1.69321e-07,2,16,1,1.5,1.0
0.466667,11.4019,1.75133e-07,2,16,1,1.5,1.5
0.466667,11.4019,1.8097e-07,2,16,1,1.5,2.0
0.466667,11.4019,1.86782e-07,2,16,1,1.5,2.5
0.466667,11.4019,1.92423e-07,2,16,1,1.5,3.0
0.466667,11.4019,1.6351e-07,2,16,1,2.0,0.5
0.466667,11.4019,1.69347e-07,2,16,1,2.0,1.0
0.466667,11.4019,1.75159e-07,2,16,1,2.0,1.5
0.466667,11.4019,1.80996e-07,2,16,1,2.0,2.0
0.466667,11.4019,1.86808e-07,2,16,1,2.0,2.5
0.466667,11.4019,1.92449e-07,2,16,1,2.0,3.0
0.466667,11.4019,1.63567e-07,2,16,1,2.5,0.5
0.466667,11.4019,1.69404e-07,2,16,1,2.5,1.0
0.466667,11.4019,1.75217e-07,2,16,1,2.5,1.5
0.466667,11.4019,1.81053e-07,2,16,1,2.5,2.0
0.466667,11.4019,1.86866e-07,2,16,1,2.5,2.5
0.466667,11.4019,1.92507e-07,2,16,1,2.5,3.0
0.466667,11.4019,1.63572e-07,2,16,1,3.0,0.5
0.466667,11.4019,1.69408e-07,2,16,1,3.0,1.0
0.466667,11.4019,1.75221e-07,2,16,1,3.0,1.5
0.466667,11.4019,1.81058e-07,2,16,1,3.0,2.0
0.466667,11.4019,1.8687e-07,2,16,1,3.0,2.5
0.466667,11.4019,1.92511e-07,2,16,1,3.0,3.0
0.463,10.2827,2.55451e-07,2,16,2,0.5,0.5
0.463,10.2827,2.61194e-07,2,16,2,0.5,1.0
0.463,10.2827,2.66911e-07,2,16,2,0.5,1.5
0.463,10.2827,2.72654e-07,2,16,2,0.5,2.0
0.463,10.2827,2.78372e-07,2,16,2,0.5,2.5
0.463,10.2827,2.83921e-07,2,16,2,0.5,3.0
0.463,10.2827,2.55457e-07,2,16,2,1.0,0.5
0.463,10.2827,2.61199e-07,2,16,2,1.0,1.0
0.463,10.2827,2.66917e-07,2,16,2,1.0,1.5
0.463,10.2827,2.72659e-07,2,16,2,1.0,2.0
0.463,10.2827,2.78377e-07,2,16,2,1.0,2.5
0.463,10.2827,2.83926e-07,2,16,2,1.0,3.0
0.463,10.2827,2.55474e-07,2,16,2,1.5,0.5
0.463,10.2827,2.61217e-07,2,16,2,1.5,1.0
0.463,10.2827,2.66935e-07,2,16,2,1.5,1.5
0.463,10.2827,2.72677e-07,2,16,2,1.5,2.0
0.463,10.2827,2.78395e-07,2,16,2,1.5,2.5
0.463,10.2827,2.83944e-07,2,16,2,1.5,3.0
0.463,10.2827,2.555e-07,2,16,2,2.0,0.5
0.463,10.2827,2.61242e-07,2,16,2,2.0,1.0
0.463,10.2827,2.6696e-07,2,16,2,2.0,1.5
0.463,10.2827,2.72703e-07,2,16,2,2.0,2.0
0.463,10.2827,2.7842e-07,2,16,2,2.0,2.5
0.463,10.2827,2.8397e-07,2,16,2,2.0,3.0
0.463,10.2827,2.55558e-07,2,16,2,2.5,0.5
0.463,10.2827,2.613e-07,2,16,2,2.5,1.0
0.463,10.2827,2.67018e-07,2,16,2,2.5,1.5
0.463,10.2827,2.7276e-07,2,16,2,2.5,2.0
0.463,10.2827,2.78478e-07,2,16,2,2.5,2.5
0.463,10.2827,2.84027e-07,2,16,2,2.5,3.0
0.463,10.2827,2.55562e-07,2,16,2,3.0,0.5
0.463,10.2827,2.61304e-07,2,16,2,3.0,1.0
0.463,10.2827,2.67022e-07,2,16,2,3.0,1.5
0.463,10.2827,2.72764e-07,2,16,2,3.0,2.0
0.463,10.2827,2.78482e-07,2,16,2,3.0,2.5
0.463,10.2827,2.84031e-07,2,16,2,3.0,3.0
0.455111,9.72266,3.47852e-07,2,16,3,0.5,0.5
0.455111,9.72266,3.53653e-07,2,16,3,0.5,1.0
0.455111,9.72266,3.59429e-07,2,16,3,0.5,1.5
0.455111,9.72266,3.65229e-07,2,16,3,0.5,2.0
0.455111,9.72266,3.71005e-07,2,16,3,0.5,2.5
0.455111,9.72266,3.7661e-07,2,16,3,0.5,3.0
0.455111,9.72266,3.47858e-07,2,16,3,1.0,0.5
0.455111,9.72266,3.53658e-07,2,16,3,1.0,1.0
0.455111,9.72266,3.59434e-07,2,16,3,1.0,1.5
0.455111,9.72266,3.65235e-07,2,16,3,1.0,2.0
0.455111,9.72266,3.71011e-07,2,16,3,1.0,2.5
0.455111,9.72266,3.76616e-07,2,16,3,1.0,3.0
0.455111,9.72266,3.47875e-07,2,16,3,1.5,0.5
0.455111,9.72266,3.53676e-07,2,16,3,1.5,1.0
0.455111,9.72266,3.59452e-07,2,16,3,1.5,1.5
0.455111,9.72266,3.65252e-07,2,16,3,1.5,2.0
0.455111,9.72266,3.71028e-07,2,16,3,1.5,2.5
0.455111,9.72266,3.76633e-07,2,16,3,1.5,3.0
0.455111,9.72266,3.47901e-07,2,16,3,2.0,0.5
0.455111,9.72266,3.53701e-07,2,16,3,2.0,1.0
0.455111,9.72266,3.59477e-07,2,16,3,2.0,1.5
0.455111,9.72266,3.65278e-07,2,16,3,2.0,2.0
0.455111,9.72266,3.71054e-07,2,16,3,2.0,2.5
0.455111,9.72266,3.76659e-07,2,16,3,2.0,3.0
0.455111,9.72266,3.47959e-07,2,16,3,2.5,0.5
0.455111,9.72266,3.53759e-07,2,16,3,2.5,1.0
0.455111,9.72266,3.59535e-07,2,16,3,2.5,1.5
0.455111,9.72266,3.65335e-07,2,16,3,2.5,2.0
0.455111,9.72266,3.71111e-07,2,16,3,2.5,2.5
0.455111,9.72266,3.76717e-07,2,16,3,2.5,3.0
0.455111,9.72266,3.47963e-07,2,16,3,3.0,0.5
