Throughput,Latency,Power,Buffer Depth,Flit Size,NUM_VC,r2h_len,r2r_len
0.532556,8.65833,1.63341e-07,2,16,1,0.5,0.5
0.532556,8.65833,1.69144e-07,2,16,1,0.5,1.0
0.532556,8.65833,1.74923e-07,2,16,1,0.5,1.5
0.532556,8.65833,1.80726e-07,2,16,1,0.5,2.0
0.532556,8.65833,1.86505e-07,2,16,1,0.5,2.5
0.532556,8.65833,1.92114e-07,2,16,1,0.5,3.0
0.532556,8.65833,1.63346e-07,2,16,1,1.0,0.5
0.532556,8.65833,1.6915e-07,2,16,1,1.0,1.0
0.549,9.32739,1.74856e-07,2,16,1,1.0,1.5
0.549,9.32739,1.80645e-07,2,16,1,1.0,2.0
0.549,9.32739,1.86409e-07,2,16,1,1.0,2.5
0.549,9.32739,1.92004e-07,2,16,1,1.0,3.0
0.549,9.32739,1.6332e-07,2,16,1,1.5,0.5
0.549,9.32739,1.69108e-07,2,16,1,1.5,1.0
0.549,9.32739,1.74873e-07,2,16,1,1.5,1.5
0.549,9.32739,1.80662e-07,2,16,1,1.5,2.0
0.549,9.32739,1.86427e-07,2,16,1,1.5,2.5
0.549,9.32739,1.92021e-07,2,16,1,1.5,3.0
0.549,9.32739,1.63345e-07,2,16,1,2.0,0.5
0.549,9.32739,1.69134e-07,2,16,1,2.0,1.0
0.549,9.32739,1.74899e-07,2,16,1,2.0,1.5
0.549,9.32739,1.80688e-07,2,16,1,2.0,2.0
0.549,9.32739,1.86453e-07,2,16,1,2.0,2.5
0.549,9.32739,1.92047e-07,2,16,1,2.0,3.0
0.549,9.32739,1.63403e-07,2,16,1,2.5,0.5
0.549,9.32739,1.69192e-07,2,16,1,2.5,1.0
0.549,9.32739,1.74957e-07,2,16,1,2.5,1.5
0.549,9.32739,1.80746e-07,2,16,1,2.5,2.0
0.549,9.32739,1.8651e-07,2,16,1,2.5,2.5
0.549,9.32739,1.92104e-07,2,16,1,2.5,3.0
0.530889,9.14908,1.63041e-07,2,16,1,3.0,0.5
0.530889,9.14908,1.68695e-07,2,16,1,3.0,1.0
0.530889,9.14908,1.74326e-07,2,16,1,3.0,1.5
0.530889,9.14908,1.7998e-07,2,16,1,3.0,2.0
0.530889,9.14908,1.8561e-07,2,16,1,3.0,2.5
